layer,frame,dur
21,129,1.0712830090522767
21,65,0.6195122504234314
21,33,0.2957256650924683
21,17,0.20482280731201172
21,9,0.16117242336273194
21,5,0.14203474044799805
21,3,0.13439239978790282
21,1,0.11639389514923096
18,129,0.888338656425476
18,65,0.5409341406822205
18,33,0.279690842628479
18,17,0.1797727918624878
18,9,0.14157024145126343
18,5,0.12430845022201538
18,3,0.1169258975982666
18,1,0.10528639554977418
15,129,0.7693004393577576
15,65,0.4650080609321594
15,33,0.23292293548583984
15,17,0.15853604078292846
15,9,0.12445852279663086
15,5,0.1086543345451355
15,3,0.10222955226898194
15,1,0.09395591259002685
12,129,0.6514406609535217
12,65,0.39595148801803587
12,33,0.1974405264854431
12,17,0.134410560131073
12,9,0.10496248483657837
12,5,0.09108027935028076
12,3,0.08527842521667481
12,1,0.08154519319534302
